file_index,input_file,output_file,log_file,sim_start_time,task_start_time,elapsed_time(s),task_end_time,random_seed,job_id,host_name,gpu_device_id,peak_gpu_memory_used,gpu_memory_start,gpu_memory_end,job_completed,job_error_msg,input_file_size_mb,output_file_size_mb
0,/dvs_ro/cfs/cdirs/dune/www/data/2x2/simulation/productions/MiniRun5_1E19_RHC/MiniRun5_1E19_RHC.convert2h5/EDEPSIM_H5/0000000/MiniRun5_1E19_RHC.convert2h5.0000000.EDEPSIM.hdf5,/pscratch/sd/m/madan12/DUNE/larnd-sim-output-40GB/MiniRun5_1E19_RHC.convert2h5.0000000.EDEPSIM_2024-04-24_13:23:30_7960_24732369.LARNDSIM.hdf5,/pscratch/sd/m/madan12/DUNE/larnd-sim-output-40GB/MiniRun5_1E19_RHC.convert2h5.0000000.EDEPSIM_2024-04-24_13:23:30_7960_24732369.log,2024-04-24_13:23:27,2024-04-24_13:23:30,274.92,2024-04-24 13:28:12,7960,24732369,nid001813,GPU-a0a0aa00-b6ce-a35e-bde7-852d1e08ec5e,39983,427,30177,True,,21.802215576171875,706.8021240234375
1,/dvs_ro/cfs/cdirs/dune/www/data/2x2/simulation/productions/MiniRun5_1E19_RHC/MiniRun5_1E19_RHC.convert2h5/EDEPSIM_H5/0000000/MiniRun5_1E19_RHC.convert2h5.0000001.EDEPSIM.hdf5,/pscratch/sd/m/madan12/DUNE/larnd-sim-output-40GB/MiniRun5_1E19_RHC.convert2h5.0000001.EDEPSIM_2024-04-24_13:28:12_4386_24732369.LARNDSIM.hdf5,/pscratch/sd/m/madan12/DUNE/larnd-sim-output-40GB/MiniRun5_1E19_RHC.convert2h5.0000001.EDEPSIM_2024-04-24_13:28:12_4386_24732369.log,2024-04-24_13:23:27,2024-04-24_13:28:12,274.86,2024-04-24 13:32:49,4386,24732369,nid001813,GPU-a0a0aa00-b6ce-a35e-bde7-852d1e08ec5e,39983,491,30177,True,,24.258010864257812,752.6940383911133
2,/dvs_ro/cfs/cdirs/dune/www/data/2x2/simulation/productions/MiniRun5_1E19_RHC/MiniRun5_1E19_RHC.convert2h5/EDEPSIM_H5/0000000/MiniRun5_1E19_RHC.convert2h5.0000002.EDEPSIM.hdf5,/pscratch/sd/m/madan12/DUNE/larnd-sim-output-40GB/MiniRun5_1E19_RHC.convert2h5.0000002.EDEPSIM_2024-04-24_13:32:49_3337_24732369.LARNDSIM.hdf5,/pscratch/sd/m/madan12/DUNE/larnd-sim-output-40GB/MiniRun5_1E19_RHC.convert2h5.0000002.EDEPSIM_2024-04-24_13:32:49_3337_24732369.log,2024-04-24_13:23:27,2024-04-24_13:32:49,288.89,2024-04-24 13:37:40,3337,24732369,nid001813,GPU-a0a0aa00-b6ce-a35e-bde7-852d1e08ec5e,38631,495,30177,True,,26.94085693359375,837.7381134033203
3,/dvs_ro/cfs/cdirs/dune/www/data/2x2/simulation/productions/MiniRun5_1E19_RHC/MiniRun5_1E19_RHC.convert2h5/EDEPSIM_H5/0000000/MiniRun5_1E19_RHC.convert2h5.0000003.EDEPSIM.hdf5,/pscratch/sd/m/madan12/DUNE/larnd-sim-output-40GB/MiniRun5_1E19_RHC.convert2h5.0000003.EDEPSIM_2024-04-24_13:37:40_1510_24732369.LARNDSIM.hdf5,/pscratch/sd/m/madan12/DUNE/larnd-sim-output-40GB/MiniRun5_1E19_RHC.convert2h5.0000003.EDEPSIM_2024-04-24_13:37:40_1510_24732369.log,2024-04-24_13:23:27,2024-04-24_13:37:40,258.81,2024-04-24 13:42:01,1510,24732369,nid001813,GPU-a0a0aa00-b6ce-a35e-bde7-852d1e08ec5e,39149,483,30177,True,,18.479629516601562,631.1736488342285
4,/dvs_ro/cfs/cdirs/dune/www/data/2x2/simulation/productions/MiniRun5_1E19_RHC/MiniRun5_1E19_RHC.convert2h5/EDEPSIM_H5/0000000/MiniRun5_1E19_RHC.convert2h5.0000004.EDEPSIM.hdf5,/pscratch/sd/m/madan12/DUNE/larnd-sim-output-40GB/MiniRun5_1E19_RHC.convert2h5.0000004.EDEPSIM_2024-04-24_13:42:01_9606_24732369.LARNDSIM.hdf5,/pscratch/sd/m/madan12/DUNE/larnd-sim-output-40GB/MiniRun5_1E19_RHC.convert2h5.0000004.EDEPSIM_2024-04-24_13:42:01_9606_24732369.log,2024-04-24_13:23:27,2024-04-24_13:42:01,266.92,2024-04-24 13:46:31,9606,24732369,nid001813,GPU-a0a0aa00-b6ce-a35e-bde7-852d1e08ec5e,39149,483,30177,True,,19.218002319335938,650.914306640625
5,/dvs_ro/cfs/cdirs/dune/www/data/2x2/simulation/productions/MiniRun5_1E19_RHC/MiniRun5_1E19_RHC.convert2h5/EDEPSIM_H5/0000000/MiniRun5_1E19_RHC.convert2h5.0000005.EDEPSIM.hdf5,/pscratch/sd/m/madan12/DUNE/larnd-sim-output-40GB/MiniRun5_1E19_RHC.convert2h5.0000005.EDEPSIM_2024-04-24_13:46:31_7034_24732369.LARNDSIM.hdf5,/pscratch/sd/m/madan12/DUNE/larnd-sim-output-40GB/MiniRun5_1E19_RHC.convert2h5.0000005.EDEPSIM_2024-04-24_13:46:31_7034_24732369.log,2024-04-24_13:23:27,2024-04-24_13:46:31,285.01,2024-04-24 13:51:18,7034,24732369,nid001813,GPU-a0a0aa00-b6ce-a35e-bde7-852d1e08ec5e,39149,429,30177,True,,23.587066650390625,763.6994400024414
6,/dvs_ro/cfs/cdirs/dune/www/data/2x2/simulation/productions/MiniRun5_1E19_RHC/MiniRun5_1E19_RHC.convert2h5/EDEPSIM_H5/0000000/MiniRun5_1E19_RHC.convert2h5.0000006.EDEPSIM.hdf5,/pscratch/sd/m/madan12/DUNE/larnd-sim-output-40GB/MiniRun5_1E19_RHC.convert2h5.0000006.EDEPSIM_2024-04-24_13:51:18_2605_24732369.LARNDSIM.hdf5,/pscratch/sd/m/madan12/DUNE/larnd-sim-output-40GB/MiniRun5_1E19_RHC.convert2h5.0000006.EDEPSIM_2024-04-24_13:51:18_2605_24732369.log,2024-04-24_13:23:27,2024-04-24_13:51:18,279.15,2024-04-24 13:56:00,2605,24732369,nid001813,GPU-a0a0aa00-b6ce-a35e-bde7-852d1e08ec5e,39149,495,30177,True,,27.05560302734375,822.6604042053223
7,/dvs_ro/cfs/cdirs/dune/www/data/2x2/simulation/productions/MiniRun5_1E19_RHC/MiniRun5_1E19_RHC.convert2h5/EDEPSIM_H5/0000000/MiniRun5_1E19_RHC.convert2h5.0000007.EDEPSIM.hdf5,/pscratch/sd/m/madan12/DUNE/larnd-sim-output-40GB/MiniRun5_1E19_RHC.convert2h5.0000007.EDEPSIM_2024-04-24_13:56:00_336_24732369.LARNDSIM.hdf5,/pscratch/sd/m/madan12/DUNE/larnd-sim-output-40GB/MiniRun5_1E19_RHC.convert2h5.0000007.EDEPSIM_2024-04-24_13:56:00_336_24732369.log,2024-04-24_13:23:27,2024-04-24_13:56:00,277.68,2024-04-24 14:00:40,336,24732369,nid001813,GPU-a0a0aa00-b6ce-a35e-bde7-852d1e08ec5e,37683,491,30177,True,,24.419143676757812,772.7059631347656
8,/dvs_ro/cfs/cdirs/dune/www/data/2x2/simulation/productions/MiniRun5_1E19_RHC/MiniRun5_1E19_RHC.convert2h5/EDEPSIM_H5/0000000/MiniRun5_1E19_RHC.convert2h5.0000008.EDEPSIM.hdf5,/pscratch/sd/m/madan12/DUNE/larnd-sim-output-40GB/MiniRun5_1E19_RHC.convert2h5.0000008.EDEPSIM_2024-04-24_14:00:40_6775_24732369.LARNDSIM.hdf5,/pscratch/sd/m/madan12/DUNE/larnd-sim-output-40GB/MiniRun5_1E19_RHC.convert2h5.0000008.EDEPSIM_2024-04-24_14:00:40_6775_24732369.log,2024-04-24_13:23:27,2024-04-24_14:00:40,290.78,2024-04-24 14:05:33,6775,24732369,nid001813,GPU-a0a0aa00-b6ce-a35e-bde7-852d1e08ec5e,37683,495,30177,True,,29.561203002929688,870.581657409668
9,/dvs_ro/cfs/cdirs/dune/www/data/2x2/simulation/productions/MiniRun5_1E19_RHC/MiniRun5_1E19_RHC.convert2h5/EDEPSIM_H5/0000000/MiniRun5_1E19_RHC.convert2h5.0000009.EDEPSIM.hdf5,/pscratch/sd/m/madan12/DUNE/larnd-sim-output-40GB/MiniRun5_1E19_RHC.convert2h5.0000009.EDEPSIM_2024-04-24_14:05:33_589_24732369.LARNDSIM.hdf5,/pscratch/sd/m/madan12/DUNE/larnd-sim-output-40GB/MiniRun5_1E19_RHC.convert2h5.0000009.EDEPSIM_2024-04-24_14:05:33_589_24732369.log,2024-04-24_13:23:27,2024-04-24_14:05:33,290.48,2024-04-24 14:10:26,589,24732369,nid001813,GPU-a0a0aa00-b6ce-a35e-bde7-852d1e08ec5e,37637,495,30177,True,,28.217803955078125,837.817138671875
